name,description,price,barcode,available_items,category,brand
glipizide,"Drainage of Post Neck Subcu/Fascia, Perc Approach, Diagn",976,754332327-3,6,Glipizide,REMEDYREPACK INC.
Sodium Phosphate Enema,"Insert of Infusion Dev into R Toe Phalanx Jt, Open Approach",765,945504351-3,1,Good Neighbor Pharmacy,AMERISOURCEBERGEN DRUG CORPORATION
BACILLUS CEREUS,"Restriction of Left Hypogastric Vein, Percutaneous Approach",50,825231626-3,4,Pleo Lat,Sanum Kehlbeck GmbH & Co. KG
Ibuprofen,"Insert of Infusion Dev into Azygos Vein, Perc Endo Approach",203,849047169-X,9,Ibuprofen,Perrigo Pharmaceuticals Company
docetaxel,Plain Radiography of Bi Com Carotid using Oth Contrast,130,835572114-4,10,DOCETAXEL,Accord Healthcare Inc.
Furosemide,"Replacement of Left Scapula with Autol Sub, Open Approach",364,027858948-0,9,Furosemide,Cardinal Health
OXYGEN,"Excision of Finger Nail, External Approach, Diagnostic",232,032065469-9,8,OXYGEN,"Adirondack Compressed Gases, Inc"
GOLDENSEAL,MRI of Sup Mesent Art using Oth Contrast,910,063230087-6,7,HYDRASTIS CANADENSIS,BrandStorm HBC
Nadolol,Traction of Left Finger,866,969076356-3,3,Nadolol,Sandoz Inc
"Octisalate, Oxybenzone, Avobenzone, Octocrylene",Plain Radiography of Bilateral Kidneys,168,088942284-2,10,Skin So Soft,"Avon Products, Inc"
Folic Acid,"Replacement of R Hepatic Duct with Synth Sub, Open Approach",547,768263490-1,1,Folic Acid,REMEDYREPACK INC.
TERBINAFINE HYDROCHLORIDE,"Excision of Right Upper Arm, Perc Endo Approach",721,852582816-5,4,LAMISIL AT,"Novartis Consumer Health, Inc."
Acetaminophen,"Reposition Right Mandible, Percutaneous Endoscopic Approach",316,959294892-5,9,Acetaminophen,Amneal Pharmaceuticals
Menthol,"Remove Extralum Dev from Cisterna Chyli, Perc Endo",532,850551315-0,9,Personal Care Ice Cold,"Personal Care Products, Inc."
Naproxen Sodium,"Removal of Monitor Dev from Spinal Canal, Extern Approach",270,252738122-7,3,All Day Pain Relief,Cardinal Health (Leader) 49781
Ziprasidone hydrochloride,"Release Right Lung, Endo",169,814535279-7,8,Ziprasidone hydrochloride,Wockhardt USA LLC.
Blackeye Pea,"Repair Left External Auditory Canal, Endo",857,820411156-8,4,Blackeye Pea,"Nelco Laboratories, Inc."
loratadine and pseudoephedrine,"Restriction of Left Ureter with Intralum Dev, Open Approach",372,041696394-3,8,Loratadine and Pseudoephedrine,Ohm Laboratories Inc.
Hydrocortisone,"Occlusion of Left Face Vein with Intralum Dev, Open Approach",506,208379275-0,10,TopCare,Topco Associates LLC
Miconazole Nitrate,"Dilate Innom Art, Bifurc, w 2 Drug-elut, Perc Endo",764,934041339-3,8,Miconazole 3 Combination Pack,Wakefern Food Corporation
"Eucalyptol, menthol, methyl salicylate, thymol","Replace of R Acromioclav Jt with Nonaut Sub, Open Approach",453,641581484-2,3,Antispetic,Walgreen Co
Zolpidem Tartrate,"Extirpation of Matter from Cecum, Via Opening",459,548935111-X,6,Zolpidem Tartrate,"RedPharm Drug, Inc."
Diphenhydramine HCl,"Drainage of Ascending Colon, Percutaneous Approach, Diagn",658,743567178-9,5,Sleep Aid,TOP CARE (Topco Associates LLC)
Losartan Potassium,Plain Radiography of Cervical Disc(s) using H Osm Contrast,658,616758923-2,2,Losartan Potassium,Unit Dose Services
Granisetron Hydrochloride,"Dilation of Ileum with Intraluminal Device, Endo",385,391230326-6,5,Granisetron Hydrochloride,Teva Pharmaceuticals USA Inc
Cetirizine Hydrochloride,"Division of Right Sphenoid Bone, Perc Endo Approach",208,268426469-4,2,Cetirizine Hydrochloride,Sandoz Inc
WITCH HAZEL and PHENYLEPHRINE HYDROCHLORIDE,"Revision of Ext Fix in L Low Femur, Open Approach",880,380117505-7,4,Natureplex,Natureplex LLC
Navy Beans,"Revision of Ext Fix in L Up Femur, Open Approach",704,958461792-3,10,Navy Beans,"Nelco Laboratories, Inc."
PROPRANOLOL HYDROCHLORIDE,"Drainage of Gastric Artery, Open Approach",919,838687563-1,1,PROPRANOLOL HYDROCHLORIDE,Cadila Healthcare Limited
Aluminum Zirconium Tetrachlorohydrex GLY,"Supplement Left Face Vein with Synth Sub, Perc Approach",43,165992653-X,10,Axe,Conopco Inc. d/b/a Unilever
Pyrithione Zinc,"Drainage of Sciatic Nerve, Open Approach, Diagnostic",49,880551357-1,10,Head and Shoulders 2in1,Procter & Gamble Manufacturing Co.
salicylic acid,"Destruction of Left Hip Joint, Open Approach",886,470679186-3,7,G.M. Collin Complex Acne,Laboratoires Dermo Cosmetik Inc.
"Asclepias Vincetoxicum, Echinacea, Hypothlamus (Suis), Hepar Suis, Methylcobalamin, Renal (Suis), Gambogia","Insert of Intralum Dev into R Cephalic Vein, Perc Approach",752,364176775-X,4,Professional Weight Support,"Deseret Biologicals, Inc."
"Antihemophilic Factor, Human Recombinant","Bypass 2 Cor Art from R Int Mammary w Autol Art, Perc Endo",65,861160593-4,8,ADVATE,Baxter Healthcare Corporation
Quetiapine Fumarate,"Bypass L Fem Art to B Femor A w Autol Vn, Perc Endo",2,140117366-7,3,Quetiapine Fumarate,"Roxane Laboratories, Inc."
Miconazole nitrate,"Drainage of Tongue with Drainage Device, Perc Approach",649,424439513-X,7,topcare miconazole 3,Topco Associates LLC
Povidone-Iodine,"Removal of Nonaut Sub from Low Tendon, Perc Endo Approach",369,309011901-3,8,Scrub,"Medline Industries, Inc."
Acetaminophen,"Bypass Cereb Vent to Bone Mar with Synth Sub, Open Approach",633,708350709-0,1,RAPID RELEASE ACETAMINOPHEN,COSTCO WHOLESALE CORPORATION
"acetaminophen, aspirin, caffeine, salicylamide","Bypass Left Femoral Artery to L Femor A, Open Approach",422,123000696-6,1,EXAPRIN,HART Health
"oxybenzone, octisalate, homosalate, avobenzone, and octocrylene","Performance of Cardiac Pacing, Intermittent",651,525560841-6,4,SPF 50,CLINIQUE LABORATORIES INC.
Primidone,"Detachment at Right Lower Leg, High, Open Approach",416,017334440-2,6,Primidone,"Physicians Total Care, Inc."
Methocarbamol,"Fusion of Left Elbow Joint, Percutaneous Approach",183,799940000-9,3,Methocarbamol,Virtus Pharmaceuticals
ALCOHOL,"Insertion of Ext Fix into R Ulna, Perc Approach",938,978009743-0,4,Jelly Bean Hand Sanitizer,ENCHANTE ACCESSORIES INC.
TRICLOSAN,"Removal of Nonaut Sub from Urethra, Perc Endo Approach",636,294201827-5,5,ANTIBACTERIAL,WEGMANS FOOD MARKETS INC
ZINC OXIDE,"Fusion 2-7 T Jt w Intbd Fus Dev, Ant Appr A Col, Perc Endo",372,108003944-9,3,iBlanc Restora-Bright Elite Natural Sun Defense,"iBlanc, Inc."
"Caffeine, magnesium salicylate","Reattachment of Right Spermatic Cord, Perc Endo Approach",918,142064445-9,8,Diurex,"Alva-Amco Pharmacal Companies, Inc."
Nortriptyline Hydrochloride,"Repair Left Ring Finger, Percutaneous Endoscopic Approach",602,160127692-3,4,Nortriptyline Hydrochloride,REMEDYREPACK INC.
levofloxacin,"Extirpation of Matter from Upper Vein, Open Approach",966,195603598-2,3,LEVAQUIN,RedPharm Drug Inc.
"Eucalyptol, Menthol, Methyl Salicylate, Thymol","Supplement R Kidney Pelvis with Nonaut Sub, Open Approach",593,893046644-3,2,Antiseptic Mouth Rinse,Kroger Co
CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE,Exercise Trmt Circ Low Back/LE w Assist Equip,864,256784793-6,1,Children Oscillococcinum,Laboratoires Boiron
Ranitidine,"Bypass L Com Iliac Art to L Renal A w Autol Art, Open",444,727038806-7,4,cool mint acid reducer,Rite Aid Corporation
"AVOBENZONE, OCTINOXATE",Beam Radiation of Chest Wall using Neutron Capture,101,660394240-2,1,mally Lip Defender,"MallyGirl, LLC"
"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",Tomo Nucl Med Imag of Up Extrem using Gallium 67,516,655730748-7,5,Night Time Original,"Aaron Industries, Inc."
"OCTINOXATE, TITANIUM DIOXIDE","Extirpate of Matter from L Frontal Bone, Perc Endo Approach",619,101180370-4,1,Dolce and Gabbana The Lift Foundation Classic 60,Procter & Gamble Manufacturing Company
Acetaminophen,"Introduce of Oxazolidinones into Periph Art, Open Approach",942,422368619-4,10,Pain Relief,Meijer Distribution Inc
"Acetaminophen, Asprin, Caffeine","Removal of Nonaut Sub from Thor Jt, Perc Endo Approach",856,841468977-9,8,Excedrin,"Novartis Consumer Health, Inc"
"Ketorolac Tromethamine, Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine",High Dose Rate (HDR) Brachytherapy of Eye using Oth Isotope,917,605395124-2,5,Ketorocaine LM Kit,"Asclemed USA, Inc."
budesonide,"Reposition Left Fibula with Int Fix, Perc Endo Approach",798,661371562-X,6,Uceris,"Santarus, Inc."
White Fish,MRI of Lung Apices using Oth Contrast,780,223222556-9,9,White Fish,"Nelco Laboratories, Inc."
"Mineral oil, Petrolatum, Phenylephrine HCl, Shark liver oil",Beam Radiation of Tongue using Neutron Capture,505,983252691-4,1,Hemorrhoidal,Meijer Distribution Inc
Tizanidine,"Removal of Oth Dev from Male Perineum, Perc Endo Approach",243,121408843-0,5,Tizanidine,"New Horizon Rx Group, LLC"
Benztropine Mesylate,"Revision of Drain Dev in Vas Deferens, Perc Endo Approach",848,738886635-3,5,Benztropine Mesylate,"PD-Rx Pharmaceuticals, Inc."
BENZETHONIUM CHLORIDE,"Replacement of R Hip Jt with Metal, Uncement, Open Approach",448,216256299-5,6,Pink Grapefruit Scented Hand Sanitizer Anti-Bacterial,ENCHANTE ACCESSORIES INC.
aripiprazole,Fluoroscopy of Left Pulmonary Artery,925,656984045-2,8,ABILIFY MAINTENA,"Otsuka America Pharmaceutical, Inc."
conivaptan hydrochloride,"Replacement of R Clavicle with Autol Sub, Perc Endo Approach",131,750365387-6,4,VAPRISOL DEXTROSE IN PLASTIC CONTAINER,Cumberland Pharmaceuticals Inc.
Galantamine,MRI of Bi Pelvic Vein using Oth Contrast,183,892299731-1,2,Galantamine,Aurobindo Pharma Limited
Benzoyl Peroxide,"Fusion L Temporomandib Jt w Nonaut Sub, Perc Endo",464,747768343-2,3,AcneFree Sensitive,Valeant Pharmaceuticals North America LLC
Carbamazepine,"Inspection of Peritoneal Cavity, Perc Endo Approach",899,206203578-0,1,Carbamazepine,"Taro Pharmaceuticals U.S.A., Inc."
"acetaminophen, dextromethorphan Hbr, Phenylephrine HCl","Extirpation of Matter from L Subclav Art, Perc Endo Approach",210,930265681-0,9,equaline daytime cold and flu relief,Supervalu Inc
Red Maple,"Fragmentation in Carina, External Approach",523,998400426-0,8,ACER RUBRUM POLLEN,"ALK-Abello, Inc."
Promethazine Hydrochloride,"Revision of Ext Fix in L Tibia, Perc Approach",519,342316620-7,8,Promethazine Hydrochloride,Amneal Pharmaceuticals
Gabapentin,"Drainage of R Shoulder Bursa/Lig, Perc Endo Approach, Diagn",315,872446990-4,8,Gabapentin,"Ascend Laboratories, LLC"
Potassium Chloride,"Extraction of Left Cephalic Vein, Percutaneous Approach",536,730511733-1,3,Potassium Chloride,"Watson Pharma, Inc."
"OCTINOXATE, OXYBENZONE, OCTOCRYLENE, TITANIUM DIOXIDE","Removal of Nonaut Sub from Hepatobil Duct, Via Opening",310,971437149-X,3,CAPTURE TOTALE MULTI-PERFECTION CREME SPF 20,Parfums Christian Dior
Acetaminophen,"Repair Adenoids, Open Approach",354,781642338-1,10,Moore Medical Non Aspirin,Moore Medical LLC
Guaifenesin,"Insert of Infusion Dev into L Int Iliac Art, Perc Approach",255,621220476-4,2,Kids-EEZE,"ProPhase Labs, Inc."
Metoclopramide,"CT Scan Trachea/Airway w L Osm Contrast, Unenh, Enhance",428,035943832-6,2,Metoclopramide,Par Pharmaceutical Inc.
acamprosate calcium,"Drainage of Left Abdomen Muscle, Perc Endo Approach, Diagn",557,864067273-3,3,acamprosate calcium,"Forest Laboratories, Inc."
"ACETAMINOPHEN, CAFFEINE, and PYRILAMINE MALEATE",Coord/Dexterity Trmt Integu Low Back/LE w Orthosis,901,373610788-9,5,Midol Complete,"JC World Bell Wholesale Co., Inc."
Pancuronium Bromide,"Revision of Int Fix in Cerv Jt, Extern Approach",706,496214732-3,7,Pancuronium Bromide,"Hospira, Inc."
Meperidine HCl,"Transfer R Up Leg Subcu/Fascia w Skin, Subcu, Fascia, Perc",914,949185868-8,6,Meperidine HCl,Cantrell Drug Company
Tretinoin,"Insertion of Hybrid Ext Fix into L Radius, Open Approach",234,920239692-2,3,Tretinoin,Spear Dermatology Products
Anticoagulant Citrate Phosphate Dextrose (CPD) AND AS-5 Red Cell Preservative,"Release Left Carpal, Percutaneous Endoscopic Approach",374,168484480-0,4,IMUFLEX WB-SP Blood Bag System with Integral Whole Blood Leukocyte Reduction Filter (Saving Platelets) with Diversion Blood Sampling Arm Anticoagulant Citrate Phosphate Dextrose (CPD) AND OPTISOL (AS-5) Red Cell Preservative,Terumo Corporation
alcohol,"Supplement Left Elbow Region with Nonaut Sub, Open Approach",948,069116315-4,1,Exotic Cherry Blossom Kit,"Advanced Beauty Systems, Inc."
Robitussin CF,"Drainage of Phrenic Nerve with Drain Dev, Open Approach",801,997965807-X,2,Tussin CF,Aaron Industries Inc
EUCALYPTOL,"Repair Left Ethmoid Sinus, Percutaneous Endoscopic Approach",591,691317246-X,9,Antiseptic Mouth Rinse,"Meijer Distribution, Inc."
CALENDULA OFFICINALIS FLOWERING TOP and SILICON DIOXIDE,"Revision of Ext Fix in R Low Femur, Open Approach",338,397667562-8,7,Acne/Pimple Control,Forces of Nature
Cedar Elm,"Restrict R Com Iliac Art w Fenestr Dev 1 or 2, Open",689,355160861-X,7,Cedar Elm,"Nelco Laboratories, Inc."
Lovastatin,"Supplement Left Metacarpal with Synth Sub, Open Approach",557,811048801-3,3,Lovastatin,Rebel Distributors Corp
Fluocinolone Acetonide,"Replacement of Right Radius with Synth Sub, Perc Approach",529,831538022-2,5,Fluocinolone Acetonide,"AvKARE, Inc."
Acetaminophen and Codeine Phosphate,"Insertion of Radioact Elem into L Up Arm, Open Approach",436,160500432-4,4,Acetaminophen and Codeine Phosphate,Cardinal Health
fluticasone furoate,Visual Motor Integrat Assess w Speech Analysis Equip,789,168091216-X,5,Arnuity Ellipta,GlaxoSmithKline LLC
rotigotine,"Supplement R Hip Tendon with Synth Sub, Perc Endo Approach",988,206025256-3,5,Neupro,"UCB, Inc."
"Acetaminophen, Caffeine","Excision of Right Glenoid Cavity, Open Approach, Diagnostic",776,987552319-4,6,Tension Headache Relief,"L.N.K. International, Inc."
acetaminophen and codeine phosphate,"Bypass Thor Aorta Asc to Carotid, Open Approach",438,198018837-8,4,Acetaminophen And Codeine,Contract Pharmacy Services-PA
"METHYL SALICYLATE, MENTHOL, CAPSAICIN","Reposition Left Tarsal Joint, Percutaneous Approach",801,906503137-5,9,Medrox,"Preferred Pharmaceuticals, Inc"
Carboxymethylcellulose sodium,HDR Brachytherapy of Testis using Palladium 103,289,718948317-9,5,Equate Revive Plus Lubricant Eye,Wal-Mart Stores Inc
Ranitidine,"Supplement R Zygomatic Bone w Synth Sub, Perc Endo",420,187287539-4,8,Ranitidine,Major Pharmaceuticals
Aluminum Zirconium Pentachlorohydrex Gly,"Bypass L Popl Art to Foot Art w Autol Art, Perc Endo",825,617689436-0,8,Dry Idea Advanced Dry-Cotton Dry,The Dial Corporation
Benzocaine,"Reposition Right Shoulder Joint with Int Fix, Perc Approach",667,764614933-0,5,Rite Aid,Rite Aid
"Calc phos, Calc sil, Carbo veg, Kali brom, Viola tri","Resection of Right Upper Eyelid, External Approach",280,713554673-3,7,RosaRex,"Native Remedies, LLC"
Alcohol,"Revise Synth Sub in R Metatarsophal Jt, Perc Endo",47,258022862-4,3,HAND SANITIZER,Navajo Manufacturing Company Inc.
Titanium Dioxide,"Excision of Left Foot Artery, Open Approach",57,867633998-8,4,Sea Pure Hydrating,H2O PLUS
Oxygen,"Dilation of Right Face Vein, Open Approach",422,144106713-2,2,Oxygen,Aspirus Keweenaw Home Medical Equipment
SODIUM CHLORIDE,"Drainage of L Abd Bursa/Lig with Drain Dev, Perc Approach",203,662467560-8,2,Natrum Muriaticum,BrandStorm HBC
ALLANTOIN,"Resection of Left Humeral Shaft, Open Approach",20,958608955-X,10,GOONGSECRET CALMING BATH,0to7 Inc
Fluphenazine Hydrochloride,"Extirpation of Matter from Right Iris, Percutaneous Approach",398,120984918-6,10,Fluphenazine Hydrochloride,Clinical Solutions Wholesale
"influenza a virus a/christchurch/16/2010 nib-74 (h1n1) antigen (propiolactone inactivated), influenza a virus a/victoria/361/2011 ivr-165 (h3n2) antigen (propiolactone inactivated), influenza b virus b/hubei-wujiagang/158/2009 bx-39 antigen (propiolactone inactivated) and Isopropyl Alcohol","Repair Right Lobe Liver, Open Approach",82,161867770-5,3,Medical Provider Single Use EZ Flu Shot 2013-2014,MedChem Manufacturing Inc. dba Enovachem
TRICLOSAN,"Replace of L Occipital Bone with Synth Sub, Perc Approach",75,360643757-9,10,IMAGE ESSENTIALS,KMART CORPORATION
Tree Mix 6,"Bypass L Subclav Art to Bi Up Arm Art w Synth Sub, Open",525,710217595-7,4,"Pollens - Trees, Tree Mix 6",Jubilant HollisterStier LLC
"polymyxin B sulfate, trimethoprim sulfate","Drainage of Left Lower Leg Tendon, Percutaneous Approach",929,031320791-7,10,POLYMYXIN B SULFATE and TRIMETHOPRIM SULFATE,"Preferred Pharmaceuticals, Inc"
"Tetrahydrozoline hydrochloride, Polyethylene glycol 400, Dextran 70, Povidone",Fluency Treatment using Biosensory Feedback Equipment,113,862873603-4,10,Eye Drops Advanced Relief,McKesson
Metronidazole,"Removal of Autol Sub from Uterus & Cervix, Via Opening",179,931895533-2,3,Metronidazole,REMEDYREPACK INC.
TOXICODENDRON PUBESCENS LEAF,"Removal of Autol Sub from Trachea, Open Approach",134,607949872-3,5,Rhus Toxicodendron,BrandStorm HBC
Phenylephrine Hydrochloride,"Removal of Radioactive Element from Right Eye, Endo",631,898600076-8,1,Nasal Decongestant PE,Best Choice (Valu Merchandisers Company)
Ibuprofen,"Drainage of Jejunum with Drainage Device, Endo",722,562739925-2,6,Ibuprofen,Major Pharmaceuticals
tiopronin,"Excision of Left Metatarsal, Open Approach",536,176977921-3,10,Thiola,Mission Pharmacal Company
Aminocaproic Acid,"Fusion of Right Ankle Joint with Nonaut Sub, Open Approach",365,253732594-X,4,AMICAR,Clover Pharmaceuticals Corp.
NORTRIPTYLINE HYDROCHLORIDE,"Revision of Monitor Dev in Up Intest Tract, Open Approach",202,027948687-1,5,NORTRIPTYLINE HYDROCHLORIDE,STAT RX USA LLC
Octinoxate and Titanium Dioxide,"Bypass Duodenum to Cutaneous with Nonaut Sub, Endo",501,184432324-2,4,NARS ALL DAY LUMINOUS FOUNDATION,NARS COSMETICS
Titanium Dioxide and Zinc Oxide,"Excision of Right Renal Vein, Open Approach",738,335278816-2,5,Keep The Peace Protect and Correct,"Philosophy, Inc."
KETOTIFEN FUMARATE,"Insert of Infusion Dev into Thor Aorta Desc, Open Approach",54,730889260-3,10,LEADER EYE ITCH RELIEF DROPS,"HANLIM PHARM. CO., LTD."
Cimetidine,"Destruction of Minor Salivary Gland, Open Approach",643,228568587-4,10,Good Sense Heartburn Relief,Bryant Ranch Prepack
Octinoxate and Oxybenzone,"Inspection of Upper Artery, Open Approach",189,104093240-1,6,LBEL COULEUR LUXE AMPLIFIER XP,Ventura International LTD.
fluticasone propionate,Removal of Pressure Dressing on Neck,369,055953724-7,7,fluticasone propionate,Perrigo New York Inc
"Avobenzone, Octisalate and Octocrylene","Reposition Right Toe Phalanx with Int Fix, Perc Approach",571,258536069-5,3,No7 Beautiful Skin Day Normal Oily Sunscreen Broad Spectrum SPF 15,Boots Retail USA Inc
Duloxetine,Fluoroscopy of Other Veins using High Osmolar Contrast,442,956692411-9,2,Duloxetine,Actavis Elizabeth LLC
Glyburide and Metformin,"Dilate R Thyroid Art, Bifurc, w 4+ Intralum Dev, Perc",519,139251279-4,3,Glyburide and Metformin,REMEDYREPACK INC.
Sulfamethoxazole and Trimethoprim,"Replacement of L Lacrml Duct with Autol Sub, Via Opening",730,377713955-6,1,Sulfamethoxazole and Trimethoprim,Northwind Pharmaceuticals
Buspirone hydrochloride,"Revision of Other Device in R Low Extrem, Extern Approach",950,537833828-X,2,Buspirone HCl,Bryant Ranch Prepack
Buspirone hydrochloride,"Fusion Lum Jt w Synth Sub, Post Appr A Col, Perc Endo",273,631106630-0,5,Buspirone hydrochloride,Zydus Pharmaceuticals (USA) Inc.
Triclosan,"Drainage of Left Carotid Body, Open Approach",380,739761046-3,3,Safeway Home Orange Scent,Sun Products Corporation
isosorbide mononitrate,"Insertion of Radioactive Element into Up Back, Open Approach",307,649201000-0,9,isosorbide mononitrate,Cardinal Health
Oxycodone and Acetaminophen,"Bypass Duodenum to Cutaneous with Synth Sub, Open Approach",79,307615467-2,4,ENDOCET,Lake Erie Medical DBA Quality Care Products LLC
Standardized Orchard Grass Pollen,"Bypass Com Bile Duct to Stomach w Intralum Dev, Open",554,075817286-9,10,Standardized Orchard Grass Pollen,"Nelco Laboratories, Inc."
cholestyramine,"Revision of Synth Sub in R Low Extrem, Perc Approach",741,286918140-X,5,Cholestyramine,"Physicians Total Care, Inc."
clotrimazole,"Measurement of POC, Nervous Pressure, Endo",719,601405060-4,9,Clotrimazole,Walgreen Company
Benazepril hydrochloride,"Insert of Infusion Dev into Vagina & Cul-de-sac, Via Opening",335,257957528-6,4,benazepril hydrochloride,"Trigen Laboratories, Inc."
Azithromycin,LDR Brachytherapy of Esophagus using Iodine 125,449,415080734-5,3,Azithromycin,AvPAK
ALCOHOL,"Destruction of Left Popliteal Artery, Open Approach",411,913024450-1,2,Hand Sanitizer Wipes,Genesan Systems
LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Removal of Neuro Lead from Azygos Vein, Perc Endo Approach",337,873504496-9,5,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
Acetaminophen,"Replacement of Left Lacrimal Duct with Synth Sub, Endo",838,224741346-3,4,Pain Relief,HyVee Inc
"Acetaminophen, Aspirin, Caffeine","Dilation of L Radial Art with Drug-elut Intra, Open Approach",104,922376408-4,9,Rx Act headache formula,H E B
diazepam,"Occlusion R Great Saphenous w Extralum Dev, Perc Endo",39,347650699-1,6,Diazepam,Qualitest Pharmaceuticals
ezetimibe and simvastatin,"Release Right Ureter, Via Natural or Artificial Opening",151,843189281-1,3,VYTORIN,"Physicians Total Care, Inc."
Coffea cruda,MRI of Whole Fetus using Oth Contrast,485,812338949-3,9,Coffea cruda,Natures Way Holding Co.
Spironolactone,"Bypass 4+ Cor Art from Thor Art, Perc Endo Approach",789,048525058-6,6,Spironolactone,"Amneal Pharmaceuticals, LLC"
Russian Olive,"Restriction of Upper Esophagus, Perc Endo Approach",656,853078524-X,9,Russian Olive,"Nelco Laboratories, Inc."
risperidone,"Excision of Left Peroneal Artery, Perc Endo Approach, Diagn",400,554432765-3,10,RISPERDAL M-TAB,"Janssen Pharmaceuticals, Inc."
Yellow Jacket hymenoptera venom Venomil Diagnostic,"Insertion of Intracard Pacer into Cor Vein, Open Approach",834,389117685-6,4,Yellow Jacket hymenoptera venom Venomil Diagnostic,Jubilant HollisterStier LLC
Medicated Plantar Wart Remover,Fluoroscopy of Whole Spine using High Osmolar Contrast,638,540074074-X,1,Salicylic Acid,CVS Pharmacy
"Ferric Oxide Red, Zinc Oxide, and Pramoxine Hydrochloride","Insertion of Ext Fix into L Ulna, Open Approach",720,184532894-9,7,Caladryl,Valeant Pharmaceuticals North America LLC
Aluminum Zirconium Tetrachlorohydrex Gly 19%,"Destruction of Left Lung, Percutaneous Approach",41,627562526-0,3,Arrid XX Extra Extra Dry,"Church & Dwight Co., Inc."
perflutren,"Restriction of Left Inguinal Lymphatic, Perc Approach",859,715500356-5,3,Definity,"Lantheus Medical Imaging, Inc."
Octinoxate,"Repair Ear, Nose and Sinus in POC, Perc Endo Approach",515,235615316-0,3,LOreal Paris True Match Lumi Healthy Luminous Makeup Broad Spectrum SPF 20,L'Oreal USA Products Inc
LISINOPRIL AND HYDROCHLOROTHIAZIDE,"Introduce Electrol/Water Bal in Periph Vein, Open",22,434775497-3,1,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Aidarex Pharmaceuticals LLC
Giant Wild Rye,"Supplement L Pulm Art with Autol Sub, Perc Endo Approach",18,072421410-0,7,Giant Wild Rye,"Nelco Laboratories, Inc."
Glucagon,"Occlusion of Urethra with Intraluminal Device, Perc Approach",733,660043291-8,2,Glucagon,"Deseret Biologicals, Inc."
Metformin Hydrochloride,"Removal of Neuro Lead from Cereb Vent, Extern Approach",289,834716309-X,3,Metformin Hydrochloride,REMEDYREPACK INC.
Bluefish,"Replace Skin w Porc Livr Sub, Extern, New Tech 2",373,473663807-9,4,Bluefish,"Nelco Laboratories, Inc."
Simvastatin,"Dilation of Right Femoral Artery, Bifurcation, Perc Approach",807,851688156-3,9,Simvastatin,"Aphena Pharma Solutions - Tennessee, LLC"
Acetaminophen,"Irrigation of Upper GI using Irrigat, Via Opening, Diagn",327,015104831-2,1,Childrens Acetaminophen,Wal-Mart Stores Inc
Aspirin,"Drainage of Lumbar Vertebral Disc, Perc Endo Approach",43,119206672-3,1,Aspirin,TARGET Corporation
METHYL SALICYLATE,"Detachment at Right Ring Finger, Mid, Open Approach",138,803273685-9,3,soCALM Pain Relieving,AB7 Industries
Heparin Sodium,"Extirpation of Matter from R Parotid Gland, Perc Approach",408,867876056-7,10,Heparin Sodium,Cantrell Drug Company
"Capsaicin, Camphor","Repair Cervical Spinal Cord, Percutaneous Approach",872,144347654-4,10,Kerasal NeuroCream,MOBERG PHARMA NORTH AMERICA LLC
silver sulfadiazine,"Transplantation of Nervous System into POC, Via Opening",444,802959664-2,10,SILVADENE,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC
doxazosin mesylate,"Transplantation of Large Intestine, Zooplast, Open Approach",928,804719555-7,1,Cardura,Roerig
voriconazole,"Removal of Intraluminal Device from Up Art, Extern Approach",750,425540292-2,7,VFEND,Roerig
clonazepam,"Alteration of Nose, Percutaneous Endoscopic Approach",522,471776224-X,1,Klonopin,Cardinal Health
AMMONIA N-13,"Dilate L Int Jugular Vein w Intralum Dev, Perc Endo",607,177057681-9,6,Ammonia,Houston Cyclotron Partners LP dba Cyclotope
Diltiazem Hydrochloride,"Revision of Monitoring Device in Stomach, External Approach",773,620652212-1,8,Diltiazem Hydrochloride,American Health Packaging
aluminum hydroxide,"Bypass Bilateral Ureters to Bladder, Open Approach",482,085892870-1,8,Aluminum Hydroxide,"Rugby Laboratories, Inc."
tretinoin,"Supplement L Hand Tendon with Nonaut Sub, Perc Endo Approach",878,224926157-1,8,Tretinoin,"Dispensing Solutions, Inc."
carbachol,"Insertion of Int Fix into L Pelvic Bone, Perc Endo Approach",702,185625204-3,4,Isopto Carbachol,"Alcon Laboratories, Inc."
irbesartan,Laser Interstitial Thermal Therapy of Thyroid,923,964581198-8,5,Avapro,sanofi-aventis U.S. LLC
hydrocortisone and acetic acid,Fluoroscopy of Sup Mesent Art using L Osm Contrast,355,475835703-X,10,Hydrocortisone and Acetic Acid,Qualitest Pharmaceuticals
TRIAZOLAM,"Release Right Pleura, Percutaneous Endoscopic Approach",531,335067003-2,5,TRIAZOLAM,STAT RX USA LLC
Lithium Carbonate,"Drainage of R Up Extrem Lymph, Perc Approach, Diagn",417,280343101-7,7,Lithium Carbonate,Apotex Corp
